# Angstrom [air],  flux [abs.cor.cont.sub+1]
       6551.2088       1.0447194
       6551.2262       1.0433519
       6551.2436       1.0420510
       6551.2610       1.0410765
       6551.2784       1.0406206
       6551.2958       1.0407567
       6551.3132       1.0414344
       6551.3306       1.0425090
       6551.3481       1.0437976
       6551.3655       1.0451344
       6551.3829       1.0464063
       6551.4003       1.0475589
       6551.4177       1.0485779
       6551.4351       1.0494616
       6551.4525       1.0502038
       6551.4699       1.0507932
       6551.4873       1.0512279
       6551.5048       1.0515291
       6551.5222       1.0517405
       6551.5396       1.0519124
       6551.5570       1.0520751
       6551.5744       1.0522172
       6551.5918       1.0522783
       6551.6092       1.0521591
       6551.6266       1.0517457
       6551.6440       1.0509412
       6551.6615       1.0496978
       6551.6789       1.0480422
       6551.6963       1.0460869
       6551.7137       1.0440213
       6551.7311       1.0420804
       6551.7485       1.0404973
       6551.7659       1.0394518
       6551.7833       1.0390277
       6551.8007       1.0391906
       6551.8182       1.0397930
       6551.8356       1.0406064
       6551.8530       1.0413768
       6551.8704       1.0418906
       6551.8878       1.0420336
       6551.9052       1.0418210
       6551.9226       1.0413864
       6551.9400       1.0409288
       6551.9574       1.0406265
       6551.9749       1.0405630
       6551.9923       1.0406793
       6552.0097       1.0407715
       6552.0271       1.0405300
       6552.0445       1.0396066
       6552.0619       1.0376913
       6552.0793       1.0345816
       6552.0967       1.0302329
       6552.1141       1.0247829
       6552.1316       1.0185439
       6552.1490       1.0119637
       6552.1664       1.0055610
       6552.1838      0.99985181
       6552.2012      0.99528440
       6552.2186      0.99219768
       6552.2360      0.99080285
       6552.2534      0.99117977
       6552.2708      0.99327803
       6552.2883      0.99692078
       6552.3057       1.0018190
       6552.3231       1.0076050
       6552.3405       1.0138852
       6552.3579       1.0203007
       6552.3753       1.0265731
       6552.3927       1.0325227
       6552.4101       1.0380516
       6552.4275       1.0431047
       6552.4449       1.0476277
       6552.4624       1.0515419
       6552.4798       1.0547471
       6552.4972       1.0571513
       6552.5146       1.0587107
       6552.5320       1.0594592
       6552.5494       1.0595077
       6552.5668       1.0590085
       6552.5842       1.0581079
       6552.6016       1.0568966
       6552.6191       1.0554029
       6552.6365       1.0536291
       6552.6539       1.0516109
       6552.6713       1.0494690
       6552.6887       1.0474228
       6552.7061       1.0457560
       6552.7235       1.0447457
       6552.7409       1.0445852
       6552.7583       1.0453286
       6552.7758       1.0468789
       6552.7932       1.0490197
       6552.8106       1.0514807
       6552.8280       1.0540127
       6552.8454       1.0564469
       6552.8628       1.0587202
       6552.8802       1.0608617
       6552.8976       1.0629509
       6552.9150       1.0650697
       6552.9325       1.0672673
       6552.9499       1.0695480
       6552.9673       1.0718796
       6552.9847       1.0742064
       6553.0021       1.0764586
       6553.0195       1.0785527
       6553.0369       1.0803915
       6553.0543       1.0818708
       6553.0717       1.0828990
       6553.0892       1.0834226
       6553.1066       1.0834467
       6553.1240       1.0830385
       6553.1414       1.0823105
       6553.1588       1.0813879
       6553.1762       1.0803715
       6553.1936       1.0793096
       6553.2110       1.0781870
       6553.2284       1.0769355
       6553.2459       1.0754671
       6553.2633       1.0737158
       6553.2807       1.0716748
       6553.2981       1.0694164
       6553.3155       1.0670862
       6553.3329       1.0648764
       6553.3503       1.0629852
       6553.3677       1.0615788
       6553.3851       1.0607620
       6553.4026       1.0605651
       6553.4200       1.0609444
       6553.4374       1.0617966
       6553.4548       1.0629829
       6553.4722       1.0643570
       6553.4896       1.0657920
       6553.5070       1.0671975
       6553.5244       1.0685224
       6553.5418       1.0697448
       6553.5593       1.0708535
       6553.5767       1.0718323
       6553.5941       1.0726537
       6553.6115       1.0732865
       6553.6289       1.0737125
       6553.6463       1.0739439
       6553.6637       1.0740311
       6553.6811       1.0740576
       6553.6985       1.0741211
       6553.7160       1.0743110
       6553.7334       1.0746904
       6553.7508       1.0752879
       6553.7682       1.0760999
       6553.7856       1.0770981
       6553.8030       1.0782371
       6553.8204       1.0794608
       6553.8378       1.0807078
       6553.8552       1.0819179
       6553.8727       1.0830372
       6553.8901       1.0840240
       6553.9075       1.0848451
       6553.9249       1.0854696
       6553.9423       1.0858646
       6553.9597       1.0859961
       6553.9771       1.0858409
       6553.9945       1.0854030
       6554.0119       1.0847285
       6554.0294       1.0839092
       6554.0468       1.0830734
       6554.0642       1.0823658
       6554.0816       1.0819222
       6554.0990       1.0818474
       6554.1164       1.0821951
       6554.1338       1.0829539
       6554.1512       1.0840388
       6554.1686       1.0852956
       6554.1860       1.0865211
       6554.2035       1.0874987
       6554.2209       1.0880441
       6554.2383       1.0880427
       6554.2557       1.0874686
       6554.2731       1.0863771
       6554.2905       1.0848769
       6554.3079       1.0830977
       6554.3253       1.0811674
       6554.3427       1.0792057
       6554.3602       1.0773271
       6554.3776       1.0756449
       6554.3950       1.0742621
       6554.4124       1.0732526
       6554.4298       1.0726362
       6554.4472       1.0723629
       6554.4646       1.0723151
       6554.4820       1.0723339
       6554.4994       1.0722637
       6554.5169       1.0720038
       6554.5343       1.0715505
       6554.5517       1.0710104
       6554.5691       1.0705711
       6554.5865       1.0704489
       6554.6039       1.0708253
       6554.6213       1.0717972
       6554.6387       1.0733550
       6554.6561       1.0753905
       6554.6736       1.0777258
       6554.6910       1.0801502
       6554.7084       1.0824555
       6554.7258       1.0844669
       6554.7432       1.0860652
       6554.7606       1.0872008
       6554.7780       1.0878927
       6554.7954       1.0882154
       6554.8128       1.0882747
       6554.8303       1.0881841
       6554.8477       1.0880466
       6554.8651       1.0879483
       6554.8825       1.0879593
       6554.8999       1.0881355
       6554.9173       1.0885164
       6554.9347       1.0891160
       6554.9521       1.0899134
       6554.9695       1.0908520
       6554.9870       1.0918537
       6555.0044       1.0928506
       6555.0218       1.0938225
       6555.0392       1.0948259
       6555.0566       1.0959984
       6555.0740       1.0975321
       6555.0914       1.0996194
       6555.1088       1.1023874
       6555.1262       1.1058433
       6555.1437       1.1098487
       6555.1611       1.1141330
       6555.1785       1.1183389
       6555.1959       1.1220906
       6555.2133       1.1250633
       6555.2307       1.1270328
       6555.2481       1.1279068
       6555.2655       1.1277340
       6555.2829       1.1266870
       6555.3004       1.1250219
       6555.3178       1.1230201
       6555.3352       1.1209268
       6555.3526       1.1189050
       6555.3700       1.1170136
       6555.3874       1.1152104
       6555.4048       1.1133716
       6555.4222       1.1113198
       6555.4396       1.1088609
       6555.4571       1.1058331
       6555.4745       1.1021656
       6555.4919       1.0979322
       6555.5093       1.0933750
       6555.5267       1.0888772
       6555.5441       1.0848830
       6555.5615       1.0817868
       6555.5789       1.0798309
       6555.5963       1.0790491
       6555.6138       1.0792738
       6555.6312       1.0802033
       6555.6486       1.0814984
       6555.6660       1.0828741
       6555.6834       1.0841547
       6555.7008       1.0852804
       6555.7182       1.0862744
       6555.7356       1.0871922
       6555.7530       1.0880782
       6555.7705       1.0889465
       6555.7879       1.0897864
       6555.8053       1.0905852
