bjd,rv,e_rv,pre_rv,pre_e_rv,sn18,exptime,berv,qprog,airmass,filename,dLW,e_dLW,crx,e_crx,ln_order_center,irt_ind1,irt_ind1_e,irt_ind2,irt_ind2_e,irt_ind3,irt_ind3_e
2458267.9072393575,186.407101758735,47.91232626763426,-478.67708363766485,26.53561107028874,128.76039123535156,947.85,-1.4464560190235594,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180529/0031/Slope-20180529T093146_R01.optimal.fits,-813.9370158847745,377.1122158224191,-510.29910663153424,837.7544571931596, ,0.6455109084086328,0.002823510119193413,0.39522479663441157,0.002516805001653902,0.4359411941022663,0.002405316582684214
2458267.9180493047,278.9757463145928,52.884210886825024,-459.4222035551943,26.75396633484302,108.71124267578125,969.15,-1.4670132402633844,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180529/0032/Slope-20180529T094819_R01.optimal.fits,-1599.0853774971633,417.4564370156918,116.35411401522032,980.0096264633224,9,0.6456870215120845,0.0033307983836807,0.38700897640336374,0.002985645317288649,0.44151979552574117,0.002866752655531132
2458290.851391157,-14.896485313239346,44.145147526182264,109.08143106588844,18.163836849783518,135.966796875,969.15,-7.4067157142698425,,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180621/0032/Slope-20180621T081138_R01.optimal.fits,1142.815386828317,325.9443331942709,-897.4445294669653,929.0783860156852,.,0.6614076578513056,0.0025968853134749467,0.41679962145467175,0.0024316139303679116,0.45523299451170474,0.0022914342268223593
2458290.86258088,45.89417974917119,37.17662766832652,4.816669284261402,0.9491389311698325,162.27894592285156,969.15,-7.426981505110972,,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180621/0033/Slope-20180621T082834_R01.optimal.fits,1849.860917834607,277.2857643141176,-302.541862403996,664.9759293871175,0,0.6657041693676028,0.002148068006334351,0.41870906765466953,0.0019827579829438747,0.45657473255196224,0.0018910718567664191
2458291.846466838,-120.7049459911968,67.99843605302168,324.1436187292674,19.87784286579005,86.12611389160156,969.15,-7.640658825256472,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180622/0035/Slope-20180622T080501_R01.optimal.fits,814.6036755313742,506.39452730221547,468.55507517610175,924.9570244537446,1,0.6522926379566655,0.004052267274530941,0.40942138124389466,0.003804671851988592,0.4513259266784493,0.0035836832964032165
2458291.858066541,39.783068503457876,59.096514953317296,295.7906748618171,18.755615619067193,99.20042419433594,969.15,-7.661830096036486,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180622/0036/Slope-20180622T082158_R01.optimal.fits,1555.8800634900078,436.7622140479453,-338.1216861844146,470.44627203776594,7,0.6651491928201799,0.003438888426142807,0.414174135608453,0.0032180428749316913,0.45904665437658704,0.003069480384234466
2458292.8574913135,-128.90184396507632,51.383673937888446,344.61956937471007,19.35966609361297,117.06501770019531,969.15,-7.901322676948818,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180623/0027/Slope-20180623T082130_R01.optimal.fits,94.3430740679193,383.31569405602545,714.017435935513,710.0154055928974,2,0.6556874202853542,0.003209149054798927,0.4114845325759308,0.003096476906367715,0.4538698128239182,0.0029006336186871468
2458292.8689410114,-118.49689887286372,62.29404956375479,536.3793455700393,20.57103364244821,97.38525390625,947.85,-7.92082650621309,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180623/0028/Slope-20180623T083827_R01.optimal.fits,-347.0291652404899,466.9179072279575,-422.19158658386567,870.6189532844371,6,0.6591028523588289,0.003848175130050854,0.4076091587333167,0.0037468074783993267,0.4485649105357521,0.0035073512049204653
2458318.772277258,10.933527051676238,45.026690233291596,392.02929416052046,24.67347970299784,146.17959594726562,969.15,-13.105692665545954,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180719/0021/Slope-20180719T061909_R01.optimal.fits,6.2297261198735425,324.12072162077766,-101.31768746202157,267.29455144902397,2,0.6573322235462531,0.0025285801060372626,0.41768635800908055,0.0022947395172458213,0.4510959823156084,0.002236944624602322
2458318.783536765,-101.2790788747797,43.10399289746773,530.3193843394716,24.877165020336857,156.0489501953125,969.15,-13.125331381157745,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180719/0022/Slope-20180719T063605_R01.optimal.fits,205.60234102244996,310.39303988458283,224.84509116632796,696.3961949351126,1,0.6588188740657788,0.0023855374192432916,0.40614787573592964,0.0022292064042976566,0.4452484406687471,0.002107241028186108
2458319.7765737376,-91.24542015876882,49.26501464640312,625.6731484267765,25.884840429201248,132.11544799804688,958.5,-13.274761938346712,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180720/0022/Slope-20180720T062604_R01.optimal.fits,10.119237769418243,353.7483292908566,-749.0736081827326,440.04611209967203, ,0.6539702411569623,0.0027944528110483715,0.41499277243354576,0.0025513469302836283,0.4454008969213686,0.002505739607207137
2458319.788003231,-2.372296597273799,52.815995940715986,609.3924694209802,25.55555452273219,127.03729248046875,969.15,-13.293955739607322,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180720/0023/Slope-20180720T064247_R01.optimal.fits,-328.82727454068174,380.79393410219353,-600.2340575970579,705.6131814477724, ,0.6472420477787828,0.0028804535523856215,0.406571259366771,0.0026232352787631244,0.43961713896399635,0.0024716071996981536
2458321.765846018,-95.54955640659549,41.17828150117408,416.77767733704303,26.268312641474218,160.7776336669922,969.15,-13.56771678817313,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180722/0021/Slope-20180722T061023_R01.optimal.fits,-187.68528525518389,293.9816415229969,183.9981491624237,468.38870779061114,9,0.6476002723305739,0.0022647723324936003,0.4079559375921755,0.002044158352571464,0.44751247549213685,0.0019585169570716177
2458321.7771155075,-69.25857030628232,40.0461465811359,244.23304980613347,25.98087640142256,163.78225708007812,958.5,-13.587067004477488,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180722/0022/Slope-20180722T062721_R01.optimal.fits,-326.4225793748552,286.77866989593963,780.2380930666675,541.3855813318012,.,0.6504524459961274,0.0022230515008316546,0.40380266467430853,0.002000944408774629,0.4442114488743581,0.0019068801232911571
2458322.7606214145,34.20653184560207,58.381407657233254,639.2459838632572,30.945477796823777,116.82180786132812,947.85,-13.70883528181614,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180723/0029/Slope-20180723T060315_R01.optimal.fits,-1058.4924819034945,418.7697373535238,1177.1081511416974,825.0431300604719,0,0.6493548527918721,0.0031929485950698993,0.3958816364049125,0.0028922564902717383,0.4429333932613951,0.002743435466749551
2458322.7720308923,-17.48030648810943,54.57458463581826,669.6275419899507,25.94915693833361,123.34220886230469,969.15,-13.728610480558512,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180723/0030/Slope-20180723T061947_R01.optimal.fits,-1058.148456935894,392.1829813818509,710.13244388978,466.9592241519489,3,0.6433231055807043,0.0030261205273658153,0.4029095171465421,0.0027692017449000607,0.4389794189381027,0.0026105258005559807
